,DyeName,PC1,PC2,PC3,Cluster,SMILES
0,Y123,-1.6934651846094135,-3.3840752079151026,-0.9717793278052665,1,CCCCCCC1(CCCCCC)C2=C(SC(/C=C(C#N)/C(O)=O)=C2)C(S3)=C1C=C3C(C=C4)=CC=C4N(C5=CC=C(C6=CC=C(OCCCCCC)C=C6OCCCCCC)C=C5)C7=CC=C(C8=C(OCCCCCC)C=C(OCCCCCC)C=C8)C=C7
1,N719,1.043209659609433,0.7867010887474695,2.1860380573350007,0,S=C=N[Ru]12(N=C=S)(N3CCC(CC3C3N2CCC(C3)C(=O)[O-])C(=O)O)N2CCC(CC2C2N1CCC(C2)C(=O)[O-])C(=O)O
2,C1,-1.1194668076714063,2.3060689207526313,0.550719442852804,0,COC(C=C1)=CC=C1N(C2=C(C=CC=C3)C3=C(C#CC4=CC=C(C(O)=O)C=C4)C5=C2C=CC=C5)C6=CC=C(OC)C=C6
3,WS-5,2.410921777589316,-1.963760126261277,-0.7544527172327296,2,CC(C=C1)=CC=C1N2C(C=CC(C3=CC=C(C4=CC=C(/C=C(C(O)=O)/C#N)S4)C5=NN(CCCCCCCC)N=C35)=C6)=C6C7C2CCC7
4,FNE46 cosensitizer,-1.939760719790946,-3.0873505273333595,-0.4101678813366253,1,O=C(/C(C#N)=C/C(S1)=CC=C1C(C2=C3N=CC=N2)=CC=C3C(S4)=CC=C4C(C=C5)=CC=C5N(C6=CC=C(OCCCCCCCC)C=C6)C7=CC=C(OCCCCCCCC)C=C7)O
5,D35,-1.9712931786312182,-3.4235027872957677,0.05681642250280392,1,CCCCOC(C=C(OCCCC)C=C1)=C1C(C=C2)=CC=C2N(C3=CC=C(C4=CC=C(/C=C(C#N)/C(O)=O)S4)C=C3)C5=CC=C(C6=CC=C(OCCCC)C=C6OCCCC)C=C5
6,TC2,-1.920782079502489,-2.9331021146098237,-0.2914874954818751,1,CCCCCCOC(C=C1)=CC=C1N(C2=CC=C(C3=CC=C(/C=C(C#N)/C(O)=O)S3)C=C2)C4=CC=C(OCCCCCC)C=C4
7,S2,-1.6331929452393816,-3.0220879433080547,0.14593093431860804,1,CCCCC(CC)COC(C=C1)=CC=C1N(C2=CC=C(C3=CC=C(C4=CC=C(/C=C(C(O)=O)/C#N)S4)S3)C=C2)C5=CC=C(OCC(CC)CCCC)C=C5
8,TC1,-1.4248853045520649,-1.9326731754186683,-0.2455204434946147,1,CCCCCCOC(C=C1)=CC=C1N(C2=CC=C(/C=C(C#N)/C(O)=O)C=C2)C3=CC=C(OCCCCCC)C=C3
9,S1	triphenylamine,-1.9834297924123754,-1.3455229107250577,0.4099553409460939,1,CCCCC(CC)COC(C=C1)=CC=C1N(C2=CC=C(C3=CC=C(CC(C#N)C(O)=O)S3)C=C2)C4=CC=C(OCC(CC)CCCC)C=C4
10,D149,5.904524066555884,0.9613701796290435,-0.1494662152748818,2,O=C(O)CN(C/1=O)/C(SC1=C\C2=CC3=C(N(C4=CC=C(/C=C(C5=CC=CC=C5)\C6=CC=CC=C6)C=C4)C7C3CCC7)C=C2)=C(SC(N8CC)=S)\C8=O
11,D131,4.346302485117692,-0.3012096334742183,0.04739832028593444,2,O=C(O)/C(C#N)=C/C1=CC2=C(N(C3=CC=C(/C=C(C4=CC=CC=C4)\C5=CC=CC=C5)C=C3)C6C2CCC6)C=C1
12,D149+D131,5.9770959466554086,-0.3254104276272269,-0.7637728489023801,2,O=C(O)CN(C/1=O)/C(SC1=C\C2=CC3=C(N(C4=CC=C(/C=C(C5=CC=CC=C5)\C6=CC=CC=C6)C=C4)C7C3CCC7)C=C2)=C(SC(N8CC)=S)\C8=O.O=C(O)/C(C#N)=C/C1=CC2=C(N(C3=CC=C(/C=C(C4=CC=CC=C4)\C5=CC=CC=C5)C=C3)C6C2CCC6)C=C1
