,VOC,JSC,FF,PCE,Electrolyte,Molecule SMILE,Exposure time (h),Solar simulator at 1.5G (mW/cm2),Dye loading (nmol/cm2),Semiconductor Type,Semiconductor Film Thickness (um),Semiconductor Scattering Layer Thickness (um),Used Co-sensitizer,Used Co-adsorbent,Co-adsorbent type,Co-adsorbent Conc. (mM),Active area (cm2)
2923,692.0,17.26,0.64,7.63,Iodide_Triiodide,CCCCCCc1cc(sc1c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1,6.0,100.0,5.34,TiO2,8.0,5.0,0,0,None,0.0,0.159
2924,689.0,18.28,0.71,8.99,Iodide_Triiodide,CCCCCCc1cc(sc1c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1,6.0,100.0,4.96,TiO2,8.0,5.0,0,1,CDCA,2.0,0.159
2925,689.0,16.99,0.7,8.15,Iodide_Triiodide,CCCCCCc1cc(sc1c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1,6.0,100.0,4.18,TiO2,8.0,5.0,0,0,None,0.0,0.159
2926,640.0,5.6,0.66,2.4,Iodide_Triiodide,Cc1cc(C)c(c(c1)C)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(C)cc(cc1C)C)/c1ccc(cc1)c1ccc(cc1)C(=O)O)/c1c(C)cc(cc1C)C,1.0,100.0,152.64,TiO2,10.0,0.0,0,0,None,0.0,0.25
2927,300.0,0.28,0.53,0.046,Iodide_Triiodide,CCCCCCn1cc(c2c1ccc(c2)OC)/C=C(\c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)/C#N,20.0,100.0,152.64,TiO2,10.0,0.0,0,0,None,0.0,0.18
2928,638.0,19.08,0.682,8.26,Iodide_Triiodide,CCN1C(=S)S/C(=c\2/s/c(=C\c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)/c(=O)n2CC(=O)O)/C1=O,4.0,100.0,152.64,TiO2,14.0,5.0,0,0,None,0.0,0.25
2929,702.0,17.88,0.67,8.4,Iodide_Triiodide,CCCCCCc1cc(sc1c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1,6.0,100.0,3.43,TiO2,8.0,5.0,0,1,CDCA,2.0,0.159
2930,649.0,17.95,0.73,8.56,Iodide_Triiodide,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1)/C(=O)O,6.0,100.0,152.64,TiO2,8.0,5.0,0,1,CDCA,20.0,0.159
2931,661.0,17.93,0.74,8.9,Iodide_Triiodide,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1)/C(=O)O,6.0,100.0,152.64,TiO2,8.0,5.0,0,1,CDCA,20.0,0.159
2932,702.0,18.15,0.71,9.02,Iodide_Triiodide,CCCCCCc1cc(sc1c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1,6.0,100.0,152.64,TiO2,8.0,5.0,0,1,CDCA,20.0,0.159
2933,696.0,18.0,0.72,9.04,Iodide_Triiodide,CCCCCCc1cc(sc1c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1,6.0,100.0,152.64,TiO2,8.0,5.0,0,1,CDCA,20.0,0.159
2934,649.0,18.53,0.71,8.49,Iodide_Triiodide,CCCCCn1c2ccc(cc2c2c1cccc2)N1C2CCCC2c2c1cc(/C=C/c1ccc(s1)/C=C(/C(=O)O)\C#N)cc2,5.0,100.0,152.64,TiO2,12.0,4.0,0,1,DCA,30.0,0.142
2935,614.0,12.28,0.68,5.09,Iodide_Triiodide,CCCCCCC1(CCCCCC)c2ccccc2c2c1ccc(c2)N1C2CCCC2c2c1cc(/C=C/c1ccc(s1)/C=C(/C(=O)O)\C#N)cc2,5.0,100.0,152.64,TiO2,12.0,4.0,0,0,None,0.0,0.142
2936,627.0,15.29,0.72,6.84,Iodide_Triiodide,CCCCCCC1(CCCCCC)c2ccccc2c2c1ccc(c2)N1C2CCCC2c2c1cc(/C=C/c1ccc(s1)/C=C(/C(=O)O)\C#N)cc2,5.0,100.0,152.64,TiO2,12.0,4.0,0,1,DCA,30.0,0.142
2937,622.0,9.77,0.65,3.99,Iodide_Triiodide,N#C/C(=C\c1ccc(s1)/C=C/c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1)/C(=O)O,5.0,100.0,152.64,TiO2,12.0,4.0,0,0,None,0.0,0.142
2938,639.0,11.63,0.68,5.08,Iodide_Triiodide,N#C/C(=C\c1ccc(s1)/C=C/c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1)/C(=O)O,5.0,100.0,152.64,TiO2,12.0,4.0,0,1,DCA,30.0,0.142
2939,645.0,18.75,0.538,6.51,Iodide_Triiodide,CCN1C(=S)S/C(=c/2\s/c(=C\c3ccc4c(c3)N(c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)C3C4CCC3)/c(=O)n2CC(=O)O)/C1=O,15.0,100.0,152.64,TiO2,12.0,0.0,0,1,CDCA,1.0,0.16
2940,584.0,17.5,0.538,5.5,Iodide_Triiodide,OC(=O)CN1C(=S)S/C(=c/2\s/c(=C\c3ccc4c(c3)N(c3ccc(cc3)/C=C(\c3ccccc3)/C3=CC=CCC3)C3C4CCC3)/c(=O)n2CC(=O)O)/C1=O,15.0,100.0,152.64,TiO2,12.0,0.0,0,1,CDCA,1.0,0.16
2941,628.0,17.38,0.513,5.6,Iodide_Triiodide,CCN1C(=S)S/C(=c/2\s/c(=C\c3ccc4c(c3)N(c3ccc(cc3)/C=C(\c3ccccc3)/C3=CC=CCC3)C3C4CCC3)/c(=O)n2CCC(=O)O)/C1=O,15.0,100.0,152.64,TiO2,12.0,0.0,0,1,CDCA,1.0,0.16
2942,569.0,19.56,0.533,5.93,Iodide_Triiodide,CCN1C(=S)S/C(=c/2\s/c(=c/3\s/c(=C\c4ccc5c(c4)N(c4ccc(cc4)/C=C(\c4ccccc4)/C4=CC=CCC4)C4C5CCC4)/c(=O)n3CC(=O)O)/c(=O)n2CC)/C1=O,15.0,100.0,152.64,TiO2,12.0,0.0,0,1,CDCA,1.0,0.16
2943,690.0,6.22,0.7,3.0,Iodide_Triiodide,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)OC,12.0,100.0,152.64,TiO2,6.0,0.0,1,0,None,0.0,0.2399
2944,670.0,8.1,0.74,4.0,Iodide_Triiodide,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(cc1CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCCC)c1sc2c(c1)n(c1c2cccc1)CC,12.0,100.0,152.64,TiO2,5.0,0.0,0,0,None,0.0,0.2354
2945,680.0,8.5,0.76,4.4,Iodide_Triiodide,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(cc1CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCCC)c1sc2c(c1)n(c1c2cccc1)CC,12.0,100.0,152.64,TiO2,5.0,0.0,0,1,DCA,0.1,0.2354
2946,730.0,9.5,0.74,5.1,Iodide_Triiodide,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(cc1CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCCC)c1sc2c(c1)n(c1c2cccc1)CC,12.0,100.0,152.64,TiO2,5.0,0.0,0,0,None,0.0,0.2354
